,Start,Stop
0,0.033329999999999416,0.8666699999999992
1,0.8666699999999992,1.4666700000000006
2,1.4666700000000006,2.066670000000002
3,2.066670000000002,3.200000000000003
4,22.933329999999998,24.13333
5,24.466669999999993,25.200000000000003
6,34.63333,35.233329999999995
7,35.233329999999995,35.93333
8,40.400000000000006,41.13333
9,47.733329999999995,48.833330000000004
10,49.0,49.833330000000004
11,51.833330000000004,53.099999999999994
12,55.46666999999999,56.900000000000006
13,58.099999999999994,59.36667
14,59.36667,60.36667
